Security Symbol,Security Name,Industry,snapshot_date,source_url
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
AXISBANK,Axis Bank Ltd.,BANKS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
CIPLA,Cipla Ltd.,PHARMACEUTICALS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
DLF,DLF Ltd.,CONSTRUCTION,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
GAIL,GAIL (India) Ltd.,GAS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
