nse_symbol,security_names,first_snapshot,last_snapshot,snapshot_count,original_yahoo_ticker,original_yahoo_status,resolved_ticker,resolution_status,notes,resolved_download_status,resolved_price_rows
HEROHONDA,Hero Honda Motors Ltd.,2010-01-31,2011-07-31,19,HEROHONDA.NS,all_null,HEROMOTOCO.NS,alias_same_entity,Hero Honda Motors was renamed Hero MotoCorp; Yahoo exposes the current symbol history.,ok,2463
IBULHSGFIN,Indiabulls Housing Finance Ltd.,2017-03-31,2019-08-31,29,IBULHSGFIN.NS,all_null,SAMMAANCAP.NS,alias_same_entity,Indiabulls Housing Finance was renamed Sammaan Capital; Yahoo exposes the current symbol history.,ok,2464
INFOSYSTCH,Infosys Technologies Ltd.,2010-01-31,2011-05-31,16,INFOSYSTCH.NS,all_null,INFY.NS,alias_same_entity,Legacy Infosys symbol maps to the current INFY ticker on Yahoo.,ok,2463
INFRATEL,Bharti Infratel Ltd.,2016-04-30,2019-12-31,44,INFRATEL.NS,all_null,INDUSTOWER.NS,alias_same_entity,Bharti Infratel history is exposed under the current Indus Towers Yahoo ticker.,ok,2464
SSLT,Vedanta Ltd. | Sesa Sterlite Ltd.,2013-03-31,2015-04-30,20,SSLT.NS,all_null,VEDL.NS,alias_same_entity,Sesa Sterlite was renamed Vedanta Ltd.; Yahoo exposes the current ticker history.,ok,2462
MCDOWELL-N,United Spirits Ltd.,2014-03-31,2014-08-31,6,MCDOWELL-N.NS,all_null,UNITDSPR.BO,alias_same_entity_bse,United Spirits history was only recoverable from Yahoo's BSE ticker.,ok,2464
ABB,ABB Ltd.,2010-01-31,2010-09-30,9,ABB.NS,ok,ABB.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
ACC,ACC Ltd. | ACC,2010-01-31,2017-08-31,92,ACC.NS,ok,ACC.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,2015-09-30,2019-12-31,51,ADANIPORTS.NS,ok,ADANIPORTS.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
AMBUJACEM,Ambuja Cements Ltd. | AMBUJACEM,2010-01-31,2018-03-31,99,AMBUJACEM.NS,ok,AMBUJACEM.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
ASIANPAINT,Asian Paints Ltd.,2012-04-30,2019-12-31,92,ASIANPAINT.NS,ok,ASIANPAINT.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
AUROPHARMA,Aurobindo Pharma Ltd.,2016-04-30,2018-03-31,24,AUROPHARMA.NS,ok,AUROPHARMA.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
AXISBANK,Axis Bank Ltd. | AXISBANK,2010-01-31,2019-12-31,119,AXISBANK.NS,ok,AXISBANK.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
BAJAJ-AUTO,Bajaj Auto Ltd. | BAJAJ-AUTO,2010-10-31,2019-12-31,110,BAJAJ-AUTO.NS,ok,BAJAJ-AUTO.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
BAJAJFINSV,Bajaj Finserv Ltd.,2018-04-30,2019-12-31,20,BAJAJFINSV.NS,ok,BAJAJFINSV.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
BAJFINANCE,Bajaj Finance Ltd.,2017-09-30,2019-12-31,27,BAJFINANCE.NS,ok,BAJFINANCE.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
BANKBARODA,Bank of Baroda,2012-04-30,2017-08-31,65,BANKBARODA.NS,ok,BANKBARODA.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
BHARTIARTL,Bharti Airtel Ltd. | BHARTIARTL,2010-01-31,2019-12-31,119,BHARTIARTL.NS,ok,BHARTIARTL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
BHEL,Bharat Heavy Electricals Ltd. | BHEL,2010-01-31,2017-02-28,86,BHEL.NS,ok,BHEL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
BOSCHLTD,Bosch Ltd.,2015-05-31,2018-03-31,35,BOSCHLTD.NS,ok,BOSCHLTD.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
BPCL,Bharat Petroleum Corporation Ltd. | BPCL,2010-01-31,2019-12-31,119,BPCL.NS,ok,BPCL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
BRITANNIA,Britannia Industries Ltd.,2019-03-31,2019-12-31,10,BRITANNIA.NS,ok,BRITANNIA.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
