yahoo_ticker,status,rows
CAIRN.NS,all_null,2462
HDFC.NS,all_null,2463
HEROHONDA.NS,all_null,2463
IBULHSGFIN.NS,all_null,2463
IDFC.NS,all_null,2463
INFOSYSTCH.NS,all_null,2463
INFRATEL.NS,all_null,2463
MCDOWELL-N.NS,all_null,2462
RANBAXY.NS,all_null,2462
SESAGOA.NS,all_null,2462
SSLT.NS,all_null,2462
STER.NS,all_null,2462
TATAMOTORS.NS,all_null,2462
TATAMTRDVR.NS,all_null,2462
ABB.NS,ok,2462
ACC.NS,ok,2462
ADANIPORTS.NS,ok,2462
AMBUJACEM.NS,ok,2462
ASIANPAINT.NS,ok,2462
AUROPHARMA.NS,ok,2462
AXISBANK.NS,ok,2462
BAJAJ-AUTO.NS,ok,2462
BAJAJFINSV.NS,ok,2462
BAJFINANCE.NS,ok,2462
BANKBARODA.NS,ok,2462
BHARTIARTL.NS,ok,2462
BHEL.NS,ok,2462
BOSCHLTD.NS,ok,2462
BPCL.NS,ok,2462
BRITANNIA.NS,ok,2462
CIPLA.NS,ok,2462
COALINDIA.NS,ok,2462
DLF.NS,ok,2462
DRREDDY.NS,ok,2463
EICHERMOT.NS,ok,2463
GAIL.NS,ok,2463
GRASIM.NS,ok,2463
HCLTECH.NS,ok,2463
HDFCBANK.NS,ok,2463
HEROMOTOCO.NS,ok,2463
HINDALCO.NS,ok,2463
HINDPETRO.NS,ok,2463
HINDUNILVR.NS,ok,2463
ICICIBANK.NS,ok,2463
IDEA.NS,ok,2463
INDUSINDBK.NS,ok,2463
INFY.NS,ok,2463
IOC.NS,ok,2462
ITC.NS,ok,2462
JINDALSTEL.NS,ok,2462
JPASSOCIAT.NS,ok,2462
JSWSTEEL.NS,ok,2462
KOTAKBANK.NS,ok,2462
LT.NS,ok,2462
LUPIN.NS,ok,2462
M&M.NS,ok,2462
MARUTI.NS,ok,2462
NESTLEIND.NS,ok,2462
NMDC.NS,ok,2462
NTPC.NS,ok,2462
ONGC.NS,ok,2462
PNB.NS,ok,2462
POWERGRID.NS,ok,2462
RCOM.NS,ok,2462
RELCAPITAL.NS,ok,2462
RELIANCE.NS,ok,2462
RELINFRA.NS,ok,2462
RPOWER.NS,ok,2462
SAIL.NS,ok,2462
SBIN.NS,ok,2462
SIEMENS.NS,ok,2462
SUNPHARMA.NS,ok,2462
SUZLON.NS,ok,2462
TATAPOWER.NS,ok,2462
TATASTEEL.NS,ok,2462
TCS.NS,ok,2462
TECHM.NS,ok,2462
TITAN.NS,ok,2462
ULTRACEMCO.NS,ok,2462
UNITECH.NS,ok,2462
UPL.NS,ok,2462
VEDL.NS,ok,2462
WIPRO.NS,ok,2462
YESBANK.NS,ok,2462
ZEEL.NS,ok,2462
