date,current_logret,mu,sigma,sigma_model,drift,realized_sigma_20d
2010-04-05,0.014617135,-6.6946144e-05,0.006723366,0.0025475798,-0.01468408,0.0062102332973957616
2010-04-06,-0.000447142,0.0013610013,0.006908213,0.0026176209,0.0018081436,0.0062476275906932395
2010-04-07,0.001610685,-0.013148128,0.0064953826,0.0024611936,-0.014758813,0.006169354972341342
2010-04-08,-0.01314731,0.010580184,0.0072636073,0.002752285,0.023727493,0.006938032229857321
2010-04-09,0.010744287,-0.004782741,0.0077622724,0.0029412364,-0.015527027,0.007210938352165943
2010-04-12,-0.004120906,-0.0021990715,0.0073788767,0.0027959622,0.0019218344,0.007348285169763329
2010-04-13,-0.003141811,-0.008541282,0.0077203983,0.0029253697,-0.005399472,0.007432967593262204
2010-04-15,-0.009314438,-0.0032177893,0.007486101,0.0028365909,0.006096648,0.007808620088839474
2010-04-16,-0.00208804,-0.011247108,0.0072098747,0.0027319249,-0.009159068,0.007306673639203194
2010-04-19,-0.011264936,0.0057815,0.007868613,0.0029815305,0.017046435,0.007627485118521041
2010-04-20,0.005070133,0.0042117345,0.007885585,0.002987961,-0.0008583983,0.007694727413848877
2010-04-21,0.00282574,0.0042529316,0.008050445,0.0030504288,0.0014271914,0.0076862217868910315
2010-04-22,0.004650877,0.0062852507,0.007805523,0.0029576246,0.0016343741,0.007312862824111839
2010-04-23,0.006573091,0.0027268303,0.007728672,0.0029285047,-0.0038462607,0.007401042507469062
2010-04-26,0.003453636,-0.0024108198,0.007558724,0.002864109,-0.0058644554,0.007298758367297935
2010-04-27,-0.002652689,-0.016743751,0.0074235103,0.0028128745,-0.014091062,0.007283898342517354
2010-04-28,-0.017655659,0.006708095,0.0081688035,0.0030952767,0.024363752,0.008245185566318545
2010-04-29,0.00739281,0.0049528773,0.0077554374,0.0029386464,-0.0024399324,0.00827656812656658
2010-04-30,0.004529016,-0.010186872,0.008042945,0.003047587,-0.014715889,0.00831677835473826
2010-05-03,-0.010523155,-0.013483452,0.008227961,0.0031176924,-0.0029602966,0.0084493134074006
2010-05-04,-0.014318673,-0.004383586,0.00835204,0.0031647077,0.009935087,0.008171298712419398
2010-05-05,-0.004594417,-0.005892297,0.008429283,0.0031939764,-0.0012978804,0.00817999904684554
2010-05-06,-0.006666164,-0.013332113,0.008471281,0.0032098899,-0.0066659497,0.008181182831119795
2010-05-07,-0.014403457,0.035175856,0.008770364,0.003323217,0.04957931,0.008269849464801603
2010-05-10,0.034385744,-0.012368898,0.0116052935,0.0043974123,-0.04675464,0.011400906898236638
2010-05-11,-0.011123365,0.0033347574,0.011579249,0.0043875435,0.014458122,0.011588597847199029
2010-05-12,0.003983372,0.0039893393,0.011940254,0.0045243334,5.967396e-06,0.0116591207324326
2010-05-13,0.004305535,-0.017312458,0.011112277,0.004210601,-0.021617992,0.011581521348247067
2010-05-14,-0.016627443,-0.005770527,0.0117702875,0.0044599306,0.010856915,0.012104146883350736
2010-05-17,-0.006618516,0.00088102784,0.010953571,0.004150465,0.007499544,0.011953195528033863
2010-05-18,0.001244367,-0.03013073,0.0124131935,0.004703537,-0.031375095,0.011874545571127505
2010-05-19,-0.029353698,0.0075620273,0.013254678,0.0050223875,0.036915723,0.013334785430741057
2010-05-20,0.00566526,-0.0030653486,0.012636872,0.004788292,-0.008730609,0.013368109281680102
2010-05-21,-0.003330423,0.0036464438,0.013066191,0.004950967,0.006976867,0.01317095345120269
2010-05-24,0.00259244,-0.026390044,0.013802832,0.005230091,-0.028982485,0.01314791066300667
2010-05-25,-0.028143466,0.02165382,0.013172937,0.0049914145,0.049797285,0.014232966309185347
2010-05-26,0.022758736,0.017069604,0.015001342,0.0056842235,-0.0056891297,0.015173893302117441
2010-05-27,0.017277824,0.012485081,0.014863085,0.005631836,-0.0047927424,0.015680773451142254
2010-05-28,0.012602334,0.0032194199,0.01570388,0.005950425,-0.009382914,0.015971062207213546
2010-05-31,0.003890538,-0.02364631,0.015421591,0.005843462,-0.027536847,0.015893340221254795
2010-06-01,-0.023090492,0.010286832,0.015993668,0.00606023,0.033377323,0.016384273810749604
2010-06-02,0.009939952,0.016844312,0.015634514,0.0059241415,0.00690436,0.01657328625478575
2010-06-03,0.017897175,0.005017701,0.016061949,0.0060861027,-0.012879473,0.017037696158737133
2010-06-04,0.004879963,-0.018855086,0.016257387,0.006160157,-0.023735048,0.016710714953734832
2010-06-07,-0.019962313,-0.009749916,0.014950887,0.005665106,0.010212396,0.015389469493830245
2010-06-08,-0.009360299,0.0030300405,0.014824563,0.0056172395,0.012390339,0.015336768862127096
2010-06-09,0.002643273,0.01544244,0.015266716,0.0057847775,0.012799167,0.01531458965838397
2010-06-10,0.015537781,0.009421562,0.015681038,0.00594177,-0.006116219,0.015740254390594028
2010-06-11,0.007991845,0.015331873,0.015366554,0.005822608,0.007340029,0.01541120025861439
2010-06-14,0.015188761,0.004247361,0.015749915,0.0059678685,-0.010941399,0.015668730440248878
2010-06-15,0.004731253,0.00082731113,0.015246137,0.00577698,-0.003903942,0.015686958104766495
2010-06-16,0.002104116,0.007517323,0.013389556,0.0050734947,0.005413207,0.013904459176657313
2010-06-17,0.007898634,-0.0025605336,0.0132552665,0.0050226105,-0.010459168,0.013935158355517771
2010-06-18,-0.002325042,0.017240724,0.013344927,0.0050565843,0.019565765,0.013912146275142142
2010-06-21,0.017087937,-0.007817459,0.01431819,0.0054253675,-0.024905395,0.014249435379872994
2010-06-22,-0.006888597,0.002158188,0.011708965,0.0044366946,0.009046785,0.012400365159444477
2010-06-23,0.001240655,-0.0013550306,0.011543402,0.0043739607,-0.0025956854,0.011695589279090814
2010-06-24,-0.000479118,-0.010080984,0.011049939,0.0041869804,-0.009601867,0.011298990894266777
2010-06-25,-0.009736054,0.01281443,0.011564307,0.0043818816,0.022550482,0.011411312218930166
2010-06-28,0.01215764,-0.014493873,0.011860186,0.0044939946,-0.026651513,0.01163252883305023
2010-06-29,-0.014608882,0.01124265,0.010675987,0.004045285,0.025851533,0.010778632139349983
2010-06-30,0.010663733,-0.01270786,0.011098748,0.0042054746,-0.023371592,0.010805059566616341
2010-07-01,-0.011567845,-0.0027713748,0.0101692965,0.0038532924,0.008796469,0.010650648070149043
2010-07-02,-0.00272676,-0.0004050359,0.010710663,0.004058424,0.0023217245,0.010654147182262926
2010-07-05,-0.000229198,0.00949448,0.009555129,0.0036205754,0.009723677,0.009459432503161554
2010-07-06,0.010099878,-0.008249737,0.00885566,0.0033555366,-0.018349614,0.009231151325546355
2010-07-07,-0.00910719,0.009616582,0.009938978,0.003766021,0.018723771,0.009616852595601733
2010-07-08,0.010580904,0.009904233,0.009058385,0.0034323519,-0.0006766707,0.009318378934506329
2010-07-09,0.010442114,0.005892762,0.009624679,0.0036469288,-0.0045493515,0.00941546763446613
2010-07-12,0.005691403,0.0040630302,0.009328273,0.0035346164,-0.0016283724,0.008955568775363066
2010-07-13,0.003273459,-0.0016535043,0.009012705,0.0034150432,-0.0049269632,0.008935950871922043
2010-07-14,-0.002688473,-0.0020859092,0.009267084,0.0035114312,0.00060256344,0.008988047199930712
2010-07-15,-0.001374821,0.0026099624,0.009144723,0.003465067,0.003984783,0.00887576529536173
2010-07-16,0.002812662,-0.0010289939,0.00884771,0.003352524,-0.003841656,0.008849528550362975
2010-07-19,-0.00138209,-0.0027217749,0.008010126,0.0030351516,-0.0013396847,0.008033944288682732
2010-07-20,-0.003431177,0.006081199,0.0078728,0.0029831168,0.009512376,0.007907122254438051
2010-07-21,0.005823194,0.0050190245,0.008127524,0.0030796353,-0.00080416957,0.007996170382534671
2010-07-22,0.007858894,0.001907534,0.008389989,0.003179087,-0.0059513603,0.008146815590728555
2010-07-23,0.001312987,-0.0048372317,0.007921097,0.0030014173,-0.006150218,0.007735609657738633
2010-07-26,-0.005612978,0.0018172828,0.0077844793,0.0029496509,0.0074302605,0.007485322801412495
2010-07-27,0.002212146,-0.0060812,0.0067861057,0.0025713528,-0.008293346,0.006550494253828018
2010-07-28,-0.006104532,0.0017435125,0.006845863,0.0025939958,0.007848045,0.006405226876381099
2010-07-29,0.002100616,-0.0070271487,0.0061055883,0.002313495,-0.009127764,0.005708068459922073
2010-07-30,-0.007664828,0.011126249,0.0061732777,0.0023391435,0.018791078,0.005998888104100261
2010-08-02,0.011862038,0.00039083723,0.006751131,0.0025581003,-0.0114712,0.006437275914225798
2010-08-03,0.001453364,0.0053077484,0.005998862,0.0022730548,0.003854385,0.00613632354748668
2010-08-04,0.005189203,-0.0028580474,0.0062230863,0.0023580166,-0.00804725,0.005661922972562746
2010-08-05,-0.003802129,-0.0009279056,0.005629201,0.002132985,0.0028742235,0.005439452163702231
2010-08-06,-0.001442191,0.008447561,0.0057410225,0.0021753558,0.009889753,0.005033504289007141
2010-08-09,0.008585533,-0.0059247417,0.0056480537,0.0021401285,-0.014510275,0.005219558051340405
2010-08-10,-0.004649694,-0.006431492,0.0058063166,0.0022000966,-0.0017817976,0.005333292065316245
2010-08-11,-0.007370494,-8.601547e-05,0.0063885697,0.0024207206,0.0072844783,0.005580103560270113
2010-08-12,-0.000765873,0.00706058,0.0058338093,0.002210514,0.007826453,0.005572031660804527
2010-08-13,0.006560218,-0.0076397583,0.006020616,0.0022812977,-0.014199976,0.005720272566920863
2010-08-16,-0.006218796,-0.0010800364,0.006280419,0.0023797408,0.00513876,0.005904918842668324
2010-08-17,-0.000766198,0.011794877,0.0063660364,0.0024121825,0.012561075,0.005846191309471646
2010-08-18,0.011934083,0.010518871,0.0063159647,0.0023932096,-0.0014152114,0.0062861396817708946
2010-08-19,0.011080675,-0.0008822871,0.0068219174,0.0025849224,-0.011962961,0.006515442570898817
2010-08-20,-0.001725305,0.0011425829,0.0066761756,0.0025296987,0.0028678875,0.006540547574919429
2010-08-23,0.002320739,-0.0073481863,0.0067472337,0.0025566237,-0.009668925,0.00637323424163826
2010-08-24,-0.006951117,-0.008347282,0.0068342807,0.002589607,-0.0013961655,0.006616773414950247
2010-08-25,-0.007795835,0.00323987,0.006981953,0.0026455622,0.011035705,0.00671809527475694
2010-08-26,0.00284268,-0.012286215,0.0068124905,0.0025813503,-0.015128896,0.006728878875500578
2010-08-27,-0.012712994,0.0020304713,0.0068324325,0.0025889066,0.014743465,0.007138752392663753
2010-08-30,0.001247211,-0.0032408638,0.00703675,0.0026663255,-0.004488075,0.006615709701445795
2010-08-31,-0.002412734,0.013542818,0.006540631,0.0024783388,0.015955552,0.0066228932794529585
2010-09-01,0.012773504,0.0030298957,0.007168574,0.0027162754,-0.0097436085,0.007152282017636634
2010-09-02,0.002609931,-0.0014040247,0.006918172,0.0026213946,-0.0040139556,0.007114767996768563
2010-09-03,-0.001231129,0.017708456,0.0071136435,0.0026954615,0.018939586,0.007112114634306222
2010-09-06,0.017646479,0.003966806,0.007827637,0.0029660037,-0.013679671,0.007907289565846106
2010-09-07,0.004838561,0.00050280784,0.007713802,0.0029228702,-0.0043357536,0.00784620157103932
2010-09-08,0.000686791,0.004181777,0.0076509635,0.0028990598,0.0034949866,0.007580185170500128
2010-09-09,0.005725477,0.019333068,0.011210474,0.0042478093,0.013607591,0.007608054521247863
2010-09-13,0.021044579,0.005928369,0.008410544,0.003186876,-0.015116209,0.008677020169989906
2010-09-14,0.006152873,0.0111294165,0.008345542,0.0031622455,0.004976544,0.008442027284451922
2010-09-15,0.011221392,-0.005362802,0.0084355455,0.0031963491,-0.016584193,0.008558005597910706
2010-09-16,-0.005517715,0.009010883,0.008631642,0.0032706528,0.014528599,0.008592315570515235
2010-09-17,0.009604253,0.016435904,0.008162702,0.003092965,0.0068316506,0.008526157800858273
2010-09-20,0.016097571,0.004922464,0.008995102,0.003408373,-0.011175107,0.008926282427025577
2010-09-21,0.004770785,-0.0024811125,0.009343957,0.0035405592,-0.0072518974,0.00892014051332597
2010-09-22,-0.003008291,-0.00577803,0.008830637,0.0033460548,-0.0027697396,0.008705619937043333
2010-09-23,-0.005263401,0.008580603,0.009592648,0.0036347916,0.013844004,0.0085383224406331
2010-09-24,0.009809853,0.0026850712,0.008430682,0.0031945063,-0.007124781,0.008615122146047158
2010-09-27,0.002878743,-0.0015475827,0.007417325,0.0028105308,-0.004426325,0.007601960830624663
2010-09-28,-0.001019449,-0.0072157104,0.0074888044,0.0028376153,-0.0061962614,0.007684888615342378
2010-09-29,-0.006355704,0.006065632,0.0076879547,0.0029130762,0.012421336,0.007941363285765748
2010-09-30,0.006430367,0.017098477,0.007655355,0.0029007238,0.010668111,0.007746118023225708
